City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Luganville,VU,84.61,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
634,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
643,Sola,VU,82.33,broken clouds,-13.8833,167.55,Leumerus Bungalows
645,Chake Chake,TZ,77.59,broken clouds,-5.2459,39.7666,Hotel Archipelago
646,Vanimo,PG,80.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
650,Panguna,PG,85.46,light rain,-6.3164,155.4848,
652,Oistins,BB,77.07,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
653,Traipu,BR,78.04,overcast clouds,-9.9706,-37.0033,Fazenda Bela Vista
654,Merauke,ID,84.38,overcast clouds,-8.4667,140.3333,
656,Santa Cruz Cabralia,BR,78.8,broken clouds,-16.2781,-39.0247,Portobali Hotel
659,Jesus Maria,AR,75.0,clear sky,-30.9815,-64.0942,Posada Los Platanos
662,Innisfail,AU,87.17,broken clouds,-17.5333,146.0333,Moondarra Motel
663,Saint-Pierre,RE,78.8,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
671,Kupang,ID,84.2,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
672,Dicabisagan,PH,79.95,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
677,Galle,LK,77.2,broken clouds,6.0367,80.217,Amangalla
690,Kismayo,SO,75.54,clear sky,-0.3582,42.5454,Agan-Hotel
692,Matara,LK,75.43,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
