City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
469,Suba,10.8438,121.0102,80.31,82,44,22.48,PH,2021-02-07 01:58:13,scattered clouds
470,Yar-Sale,66.8333,70.8333,-26.19,86,100,16.87,RU,2021-02-07 01:58:13,overcast clouds
471,Leh,34.1667,77.5833,4.77,48,0,2.53,IN,2021-02-07 01:54:44,clear sky
472,Adrar,20.5022,-10.0711,55.71,42,76,11.27,MR,2021-02-07 01:58:13,broken clouds
473,Pauini,-7.7136,-66.9764,74.48,96,99,2.28,BR,2021-02-07 01:58:13,overcast clouds
474,Saint-Francois,46.4154,3.9054,46.99,93,90,10.36,FR,2021-02-07 01:58:14,light intensity drizzle
475,Tulun,54.5611,100.5792,13.59,92,99,5.91,RU,2021-02-07 01:58:14,overcast clouds
476,Porto Santo,33.072,-16.3415,59.0,77,40,13.8,PT,2021-02-07 01:58:14,scattered clouds
477,Zyryanka,65.75,150.85,-12.44,85,0,9.08,RU,2021-02-07 01:58:14,clear sky
478,Hasilpur,29.7122,72.5553,48.96,56,0,1.45,PK,2021-02-07 01:58:14,clear sky
479,Huaiyin,33.5886,119.0192,54.07,57,0,7.63,CN,2021-02-07 01:58:14,clear sky
480,Poitiers,46.5833,0.3333,41.0,87,0,8.05,FR,2021-02-07 01:58:14,clear sky
481,Sawtell,-30.3833,153.1,82.99,74,100,6.91,AU,2021-02-07 01:58:15,overcast clouds
482,Mount Isa,-20.7333,139.5,78.8,94,75,9.22,AU,2021-02-07 01:58:12,light rain
483,Leshukonskoye,64.8989,45.7622,-21.59,84,76,9.53,RU,2021-02-07 01:55:23,broken clouds
484,Granada,37.25,-3.25,46.0,76,74,5.01,ES,2021-02-07 01:58:15,broken clouds
485,Kundiawa,-6.0167,144.9667,79.32,48,100,2.15,PG,2021-02-07 01:58:15,overcast clouds
486,Loharu,28.45,75.8167,51.39,47,0,3.22,IN,2021-02-07 01:58:15,clear sky
487,Sabang,5.8933,95.3214,82.54,75,13,18.12,ID,2021-02-07 01:58:15,few clouds
488,Rocha,-34.4833,-54.3333,63.48,94,3,4.12,UY,2021-02-07 01:58:16,clear sky
489,Qandala,11.472,49.8728,73.87,76,21,1.54,SO,2021-02-07 01:58:16,few clouds
490,Porto Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,2021-02-07 01:58:16,scattered clouds
491,Kananga,-5.8958,22.4178,67.44,96,79,1.61,CD,2021-02-07 01:58:16,broken clouds
492,Roald,62.5833,6.1333,26.6,63,0,16.11,NO,2021-02-07 01:58:16,clear sky
493,Aasiaat,68.7098,-52.8699,19.94,87,0,24.83,GL,2021-02-07 01:56:56,clear sky
494,Coahuayana,18.7333,-103.6833,73.4,78,1,0.27,MX,2021-02-07 01:55:06,clear sky
495,Amalapuram,16.5833,82.0167,68.0,88,92,9.22,IN,2021-02-07 01:55:29,mist
496,Hami,42.8,93.45,33.53,72,86,6.98,CN,2021-02-07 01:55:39,overcast clouds
497,Sao Joao Da Barra,-21.6403,-41.0511,71.1,96,100,14.67,BR,2021-02-07 01:54:28,moderate rain
498,Bousso,10.4795,16.7117,67.87,21,60,7.27,TD,2021-02-07 01:58:17,broken clouds
499,Ginir,7.1333,40.7,55.78,59,100,2.48,ET,2021-02-07 01:58:17,overcast clouds
500,Thio,-21.6167,166.2167,87.8,62,40,10.36,NC,2021-02-07 01:58:17,scattered clouds
501,Buchanan,5.8808,-10.0467,79.14,85,100,6.46,LR,2021-02-07 01:58:17,overcast clouds
