City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Dikson,73.5069,80.5464,-29.22,86,43,9.75,RU,2/6/2021 17:11
91,Taoudenni,22.6783,-3.9836,77.94,20,44,17.58,ML,2/6/2021 17:11
92,Tabas,33.5959,56.9244,57.2,18,4,4.61,IR,2/6/2021 17:11
93,Paamiut,61.994,-49.6678,23.04,81,0,7.18,GL,2/6/2021 17:09
94,Puerto Ayora,-0.7393,-90.3518,80.6,78,75,11.5,EC,2/6/2021 17:11
95,Olafsvik,64.8945,-23.7142,36,78,100,17.52,IS,2/6/2021 17:11
96,Barabinsk,55.3571,78.357,30.79,99,100,16.37,RU,2/6/2021 17:11
97,Ketchikan,55.3422,-131.6461,35.6,100,90,3.44,US,2/6/2021 17:11
98,Jensen Beach,27.2545,-80.2298,81,73,75,9.22,US,2/6/2021 17:11
99,Klaksvik,62.2266,-6.589,35.6,64,40,20.71,FO,2/6/2021 17:11
100,Khatanga,71.9667,102.5,-36.74,77,0,5.86,RU,2/6/2021 17:11
101,Swidnica,50.8438,16.4886,25,71,100,15.39,PL,2/6/2021 17:11
102,Zolotukhino,52.0842,36.3772,10.4,72,75,15.66,RU,2/6/2021 17:11
103,Thompson,55.7435,-97.8558,-34.6,67,75,9.22,CA,2/6/2021 17:11
104,Saldanha,-33.0117,17.9442,73.4,68,20,18.41,ZA,2/6/2021 17:11
105,Yarim,14.298,44.3779,51.57,56,0,3.44,YE,2/6/2021 17:11
106,Port Hedland,-20.3167,118.5667,78.8,78,40,6.91,AU,2/6/2021 17:11
107,Roma,43.2128,-75.4557,28.4,50,90,20.71,US,2/6/2021 17:10
108,Porto Torres,40.835,8.3972,66.2,59,0,2.3,IT,2/6/2021 17:10
109,Margate,51.3813,1.3862,45,91,99,1.99,GB,2/6/2021 17:11
110,Lugazi,0.3772,32.9197,70.59,68,27,3.13,UG,2/6/2021 17:11
111,Asyut,27.181,31.1837,66.2,59,0,10.36,EG,2/6/2021 17:11
112,Jiangyou,31.7667,104.7167,49.24,59,68,3.65,CN,2/6/2021 17:11
113,Chokurdakh,70.6333,147.9167,-18.65,87,97,4.85,RU,2/6/2021 17:09
114,Kavieng,-2.5744,150.7967,81.82,71,96,2.51,PG,2/6/2021 17:11
115,Russkaya Polyana,49.417,31.9201,18.64,95,51,6.24,UA,2/6/2021 17:11
116,Yarmouth,41.7057,-70.2286,43,42,1,23.02,US,2/6/2021 17:11
117,Aykhal,66,111.5,-33.84,81,2,5.55,RU,2/6/2021 17:11
118,Bredasdorp,-34.5322,20.0403,71.6,73,12,17.27,ZA,2/6/2021 17:11
119,Troitsko-Pechorsk,62.7084,56.1964,-10.64,90,100,12.26,RU,2/6/2021 17:11
120,Cherskiy,68.75,161.3,-9.9,81,0,7.09,RU,2/6/2021 17:11
121,Bafia,4.75,11.2333,89.55,27,0,5.17,CM,2/6/2021 17:11
122,Buin,-33.7333,-70.75,68,68,0,5.75,CL,2/6/2021 17:11
123,Canora,51.6333,-102.4343,-23.8,69,1,13.8,CA,2/6/2021 17:11
124,Bushehr,28.9684,50.8385,69.8,88,20,21.85,IR,2/6/2021 17:11
125,Urengoy,65.9667,78.3667,-12.91,89,100,12.28,RU,2/6/2021 17:11
126,Madingou,-4.1536,13.55,81.86,82,69,2.17,CG,2/6/2021 17:11
127,Upernavik,72.7868,-56.1549,20.59,81,100,6.51,GL,2/6/2021 17:11
128,Nantucket,41.2835,-70.0995,41,56,1,21.85,US,2/6/2021 17:11
129,Arraial Do Cabo,-22.9661,-42.0278,77,73,75,4.61,BR,2/6/2021 17:09
130,Georgetown,5.4112,100.3354,84.2,74,20,5.75,MY,2/6/2021 17:10
131,Ilulissat,69.2167,-51.1,19.4,38,40,21.85,GL,2/6/2021 17:09
132,Cockburn Town,21.4612,-71.1419,82.4,65,40,18.41,TC,2/6/2021 17:07
133,Miraflores,19.2167,-98.8083,69.8,24,1,4.61,MX,2/6/2021 17:11
134,Kasempa,-13.4584,25.8338,69.93,88,62,4.5,ZM,2/6/2021 17:11
135,Lata,40.1629,-8.3327,57.99,81,86,8.99,PT,2/6/2021 17:11
136,Nikolskoye,59.7035,30.7861,10.99,79,75,13.42,RU,2/6/2021 17:11
137,Tautira,-17.7333,-149.15,73.4,94,75,16.11,PF,2/6/2021 17:11
138,Galle,6.0367,80.217,78.67,82,94,6.26,LK,2/6/2021 17:11
139,Moses Lake,47.1301,-119.2781,44.6,53,1,8.05,US,2/6/2021 17:09
140,Pachino,36.7186,15.0907,59,67,41,3.44,IT,2/6/2021 17:11
141,Zhangye,38.9342,100.4517,28.87,71,0,4,CN,2/6/2021 17:11
